Proizvodna struktura BDP po: DEJAVNOSTI/TRANSAKCIJE, MERITVE, LETO ,;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRANSAKCIJE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Stalne cene predhodnega leta (mio EUR); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ;2008; ; ;2009; ; ;2010; ; ;2011; ; ;2012; ; ;2013; ; ;2014; ; ;2015; ; ;2016; ; 
 ;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost;Proizvodnja;Vmesna potrošnja;Dodana vrednost
A Kmetijstvo in lov, gozdarstvo, ribištvo;1511.9;849.4;662.5;1479.8;910.7;569.1;1415.2;806.8;608.4;1481.5;813.2;668.3;1489.5;815.9;673.5;1531.7;890.6;641.1;1745.6;989.2;756.4;1758.7;964.7;794.1;1682.3;911.6;770.6
B Rudarstvo (05-09);297.4;150.7;146.6;288.3;147.5;140.9;298.6;151.0;147.6;293.9;154.2;139.7;283.6;141.3;142.3;278.9;145.0;133.9;278.0;151.5;126.5;287.7;161.8;125.9;284.8;159.4;125.4
C Predelovalne dejavnosti;23063.7;15870.1;7193.6;19202.1;13074.2;6127.9;20738.6;14098.4;6640.1;21634.3;15088.6;6545.7;21849.1;15325.6;6523.5;21869.1;15146.3;6722.8;22980.1;15650.5;7329.6;23652.6;16073.2;7579.3;24818.9;16689.3;8129.6
D Oskrba z elektrièno energijo, plinom in paro (35);1634.8;891.0;743.8;1775.7;1005.2;770.5;1943.3;1096.1;847.2;2046.9;1233.9;813.0;2085.1;1216.5;868.6;2159.7;1243.0;916.6;2101.7;1127.2;974.5;1948.7;1026.1;922.6;1974.5;1028.1;946.4
E Oskrba z vodo, ravnanje z odplakami in skrb za okolje;829.9;453.6;376.3;735.7;420.1;315.5;876.8;559.3;317.5;1048.7;714.0;334.6;1021.9;714.8;307.1;1027.7;722.9;304.7;1047.7;750.3;297.4;1020.9;710.8;310.0;986.4;695.6;290.8
F Gradbeništvo (41-43);9344.6;6774.1;2570.6;8174.7;5781.7;2393.1;6908.9;4893.9;2015.0;5913.7;4101.8;1811.9;5554.4;3814.0;1740.4;5225.1;3567.6;1657.5;5482.7;3654.0;1828.7;5487.5;3658.8;1828.7;5196.0;3433.9;1762.1
G Trgovina, vzdrževanje in popravila vozil;7703.9;3739.9;3964.0;7407.9;3543.4;3864.4;7337.5;3486.7;3850.8;7506.4;3573.0;3933.4;7239.1;3520.3;3718.8;7233.8;3530.9;3702.8;7305.9;3426.2;3879.7;7510.6;3506.7;4003.9;7763.1;3642.0;4121.1
H Promet in skladišèenje;4513.0;2687.9;1825.0;4066.7;2353.8;1712.9;4444.8;2582.2;1862.6;4588.2;2823.2;1765.1;4712.0;2934.7;1777.3;4776.4;2958.8;1817.6;4885.0;3011.0;1873.9;5278.5;3229.5;2048.9;5492.1;3267.6;2224.5
I Gostinstvo (55-56);1395.8;726.7;669.0;1402.7;743.9;658.8;1455.2;747.2;708.0;1494.8;785.2;709.5;1455.3;773.7;681.6;1506.5;803.3;703.2;1552.7;839.9;712.8;1639.4;884.8;754.5;1729.6;945.4;784.2
J Informacijske in komunikacijske dejavnosti;2915.0;1544.0;1371.0;2830.9;1556.1;1274.8;2865.4;1588.5;1276.9;2826.1;1539.0;1287.1;2832.0;1523.1;1309.0;2821.4;1476.4;1345.0;2874.7;1511.0;1363.7;2994.2;1531.2;1463.0;2958.6;1553.3;1405.2
K Finanène in zavarovalniške dejavnosti;2381.3;901.2;1480.1;2553.0;935.3;1617.7;2736.4;1071.8;1664.6;2726.2;1094.5;1631.7;2594.4;1016.4;1578.0;2366.8;1054.3;1312.5;2420.1;1188.2;1231.9;2314.5;1052.6;1261.8;3060.4;1649.1;1411.4
L Poslovanje z nepremièninami (68);2850.1;545.5;2304.6;2899.2;495.7;2403.5;3163.4;484.2;2679.2;3016.4;489.2;2527.2;2924.7;449.3;2475.4;2816.4;406.8;2409.7;3003.2;400.4;2602.8;2924.0;394.3;2529.6;3097.6;462.2;2635.4
M Strokovne, znanstvene in tehniène dejavnosti;4146.0;2076.4;2069.6;4006.8;1934.4;2072.4;4264.7;2064.3;2200.4;4152.8;1983.0;2169.8;4053.9;1904.6;2149.4;4054.8;1884.2;2170.6;4405.9;2137.8;2268.2;4378.4;2090.1;2288.3;4485.3;2118.6;2366.8
N Druge raznovrstne poslovne dejavnosti;1412.1;635.8;776.3;1360.2;594.4;765.8;1425.5;592.2;833.3;1460.4;621.6;838.8;1410.9;591.8;819.1;1405.5;601.3;804.2;1603.7;658.7;944.9;1718.1;715.2;1002.9;1851.2;754.7;1096.5
O Dejavnosti uprave in obrambe, obvezna socialna varnost (84);2750.6;964.3;1786.4;2980.0;987.1;1992.8;3114.4;1039.2;2075.2;3084.8;1014.4;2070.4;3007.3;933.0;2074.4;2965.3;972.5;1992.9;2902.7;959.9;1942.8;2943.9;1000.1;1943.8;2986.4;965.3;2021.0
P Izobraževanje (85);2122.1;517.9;1604.2;2318.6;551.8;1766.8;2392.2;559.0;1833.2;2460.3;564.0;1896.2;2482.7;543.7;1939.0;2413.2;536.0;1877.1;2348.1;549.4;1798.6;2374.1;569.6;1804.5;2414.3;566.0;1848.3
Q Zdravstvo in socialno varstvo;2168.1;823.6;1344.5;2380.4;879.0;1501.4;2525.0;890.8;1634.2;2617.3;955.3;1662.0;2666.1;945.4;1720.7;2615.4;942.9;1672.5;2651.3;980.8;1670.5;2740.4;1050.2;1690.2;2873.5;1101.9;1771.6
R Kulturne, razvedrilne in rekreacijske dejavnosti;850.8;396.1;454.8;866.8;404.9;461.8;944.0;452.1;491.8;969.9;468.9;501.1;952.0;470.5;481.5;945.6;464.0;481.6;928.9;460.6;468.3;971.4;494.0;477.3;1047.0;533.5;513.4
S Druge dejavnosti;697.7;354.3;343.4;713.3;358.7;354.6;758.5;413.9;344.7;764.8;409.3;355.5;732.9;380.4;352.5;716.6;366.3;350.3;719.0;367.6;351.4;749.4;374.6;374.9;778.6;386.3;392.3
T Dejavnost gospodinjstev z zaposlenim osebjem (97-98);21.mar;-;21.mar;23.maj;-;23.maj;24.sep;-;24.sep;26.0;-;26.0;27.0;-;27.0;27.feb;-;27.feb;27.jun;-;27.jun;28.feb;-;28.feb;28.feb;-;28.feb
U Dejavnost eksteritorialnih organizacij in teles (99);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Skupaj dejavnosti;72610.4;40902.7;31707.8;67466.3;36678.1;30788.2;69633.2;37577.4;32055.7;70113.5;38426.3;31687.2;69374.1;38015.1;31359.1;68757.1;37713.2;31043.9;71264.6;38814.4;32450.2;72721.1;39488.5;33232.7;75508.7;40863.7;34645.0
Neto davki na proizvode;-;-;4604.9;-;-;4203.8;-;-;4558.1;-;-;4800.6;-;-;4552.3;-;-;4623.8;-;-;4868.6;-;-;5231.9;-;-;5414.4
..Davki na proizvode;-;-;4682.7;-;-;4245.4;-;-;4639.6;-;-;4883.8;-;-;4581.1;-;-;4659.6;-;-;4901.5;-;-;5264.9;-;-;5444.1
..Minus: subvencije po proizvodih;-;-;77.8;-;-;41.6;-;-;81.5;-;-;83.1;-;-;28.avg;-;-;35.8;-;-;32.9;-;-;33.0;-;-;29.jul
Bruto domaèi proizvod;-;-;36312.7;-;-;34992.0;-;-;36613.9;-;-;36487.8;-;-;35911.3;-;-;35667.7;-;-;37318.8;-;-;38464.6;-;-;40059.3
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vir: Statistièni urad Republike Slovenije. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Podatki pred letom 2007 so preraèunani v evre po fiksnem teèaju 1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
evro = 239,64 tolarja.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Povezane vsebine: ;;;;;;;;;;;;;;;;;;;;;;;;;;;
- (seznam ;;;;;;;;;;;;;;;;;;;;;;;;;;;
HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-;;;;;;;;;;;;;;;;;;;;;;;;;;;
e=8235 target=_blank) Metodološka pojasnila ;;;;;;;;;;;;;;;;;;;;;;;;;;;
